FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
PANERROR	PANERROR		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	gives a list of active PANEs (from PANELIST) which were inconsistent at the time		
PARANG	PARANG		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	parallactic-angle-astrometric		
PEXPELAP	PEXPELAP		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0			
PEXPTIME	PEXPTIME		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0			
PMT0MPOW	PMT0MPOW		char		VARCHAR2(17 BYTE)	16	Y	N	N									1	0	photomultiplier tube #0 master power		
PMT0OVL	PMT0OVL		char		VARCHAR2(17 BYTE)	16	Y	Y	Y				"T,F,true,false"					1	0	photomultiplier tube #0 ambient light overload signal		
PMT0TPOW	PMT0TPOW		char		VARCHAR2(17 BYTE)	16	Y	N	N									1	0	photomultiplier tube #0 tube power		
POSTLINE	POSTLINE		integer		"NUMBER(*,0)"	16	Y	Y	Y			2048						1	0	postscan-lines (rows)		
POSTPIX	POSTPIX		integer		"NUMBER(*,0)"	16	Y	Y	Y			2048						1	1	postscan-pixels in pixel col		
PRECOL	PRECOL		integer		"NUMBER(*,0)"	16	Y	Y	Y			2048						1	1	prescan-columns in pixel col		
PREFLUSH	PREFLUSH		integer		"NUMBER(*,0)"	16	Y	Y	Y			2048						1	0	prescan-flush-lines (rows)		
PRELINE	PRELINE		integer		"NUMBER(*,0)"	16	Y	Y	Y			2048						1	0	prescan-lines (rows)		
PREROW	PREROW		integer		"NUMBER(*,0)"	16	Y	Y	Y			2048						1	0			
PROGID	PROGID		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	1	WMKO program ID		
PROGINST	PROGINST		char		VARCHAR2(9 BYTE)	9	Y	N	N									1	1	Program institution		
PROGPI	PROGPI		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	1	Program principal investigator		
PROGTITL	PROGTITL		char		VARCHAR2(211 BYTE)	210	Y	N	N									1	1	Title of observing program		
PROP0STA	PROP0STA		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	Propeller mirror #0 status		
PROPINT1	PROPINT1		integer		"NUMBER(*,0)"	16	Y	N	N									1	0	Proprietary Period Interval for CCD01		
PROPINT2	PROPINT2		integer		"NUMBER(*,0)"	16	Y	N	N									1	0	Proprietary Period Interval for CCD02		
PROPINT3	PROPINT3		integer		"NUMBER(*,0)"	16	Y	N	N									1	0	Proprietary Period Interval for CCD03		
PROPMIN	PROPMIN		integer		"NUMBER(*,0)"	16	Y	N	N									1	1	Proprietary Period Interval		
PT01MD01	PT01MD01		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 01 median value		
PT01MD02	PT01MD02		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 02 median value		
PT01MD03	PT01MD03		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 03 median value		
PT01MD04	PT01MD04		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 04 median value		
PT01MD05	PT01MD05		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 05 median value		
PT01MD06	PT01MD06		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 06 median value		
PT01MN01	PT01MN01		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 01 mean value		
PT01MN02	PT01MN02		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 02 mean value		
PT01MN03	PT01MN03		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 03 mean value		
PT01MN04	PT01MN04		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 04 mean value		
PT01MN05	PT01MN05		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 05 mean value		
PT01MN06	PT01MN06		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 06 mean value		
PT01SD01	PT01SD01		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 01 std. Dev		
PT01SD02	PT01SD02		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 02 std. Dev		
PT01SD03	PT01SD03		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 03 std. Dev		
PT01SD04	PT01SD04		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 04 std. Dev		
PT01SD05	PT01SD05		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 05 std. Dev		
PT01SD06	PT01SD06		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Overscan pixels sub-exposure 01 video input 06 std. Dev		
PWRBLOK	PWRBLOK		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	ccd-dewar-heater-voltage in V		
PWRBLOK1	PWRBLOK1		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Power to heater block in the dewar.		
PWRBLOK2	PWRBLOK2		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0			
PWRBLOK3	PWRBLOK3		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0			
RA	RA		double		FLOAT(126)	16	Y	Y	N	18.5f								1	1	Decimal J2000 RA		
RCCVCLOS	RCCVCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	red-collimator-cover-closed		
RCCVOPEN	RCCVOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	red-collimator-cover-open		
RELHUM	RELHUM		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	relative-humidity in percent		
RESN2LV	RESN2LV		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Reservoir nitrogen level		
ROQUAL	ROQUAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"Good,Bad"					1	1	Electronics readout quality (to check for glitched files).		
ROTDEST	ROTDEST		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	rotator destination in encoder counts		
ROTMODE	ROTMODE		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	rotator mode		
ROTPOSN	ROTPOSN		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	rotator position		
ROWSHFT	ROWSHFT		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	row-shift-per-subintegrations		
SEMESTER	SEMESTER		char		VARCHAR2(9 BYTE)	8	Y	N	N									1	0	observing semester		
	SEMID		char		VARCHAR2(21 BYTE)	16	Y	N	N									1	1			
SHBLOPTM	SHBLOPTM		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	shutter-blade-opening-time in s		
SHCLOCNT	SHCLOCNT		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	number of times the shutter has closed for the most recently started exposure		
SHLATCLO	SHLATCLO		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	shutter-latency-on-closing in s		
SHOPNCNT	SHOPNCNT		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	number of times the shutter has opened for the most recently started exposure		
SIG2NOIS	SIG2NOIS		double		FLOAT(126)	16	Y	Y	N	18.8f								1	1	signal-to-noise ratio at WAVECNTR		
SIMPLE	SIMPLE		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	file conforms to FITS standard		
SKYPA	SKYPA		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	HIRES slit sky position angle (deg)		
SLITCAL	SLITCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	slit-calibration		
SLITCON	SLITCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	slit-control		
SLITLEN	SLITLEN		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Slit length on sky (arcsec)		
SLITNAME	SLITNAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	slit-name		
SLITRAW	SLITRAW		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	slit-raw-position in encoder counts		
SLITWID	SLITWID		double		FLOAT(126)	16	Y	Y	Y	18.8f		25						1	1	slit-width		
SLITWIDT	SLITWIDT		double		FLOAT(126)	16	Y	Y	N	18.8f								1	1	Slit width on sky (arcsec)		
SPATSCAL	SPATSCAL		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	"CCD pixel scale, spatial"		
SPECRES	SPECRES		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Nominal spectral resolution		
	spt_ind		integer		"NUMBER(*,0)"		Y	Y	N									1	0			
ST	ST		char		VARCHAR2(17 BYTE)	16	Y	N	N									1	0	local-apparent-sidereal-time		
SUBEXP	SUBEXP		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F,TRUE,FALSE"					1	0	0		
TARGNAME	TARGNAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	1	target-name		
TELESCOP	TELESCOP		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	telescope-name		
TELFOCUS	TELFOCUS		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Telescope focus		
TEMPCOOL	TEMPCOOL		double		FLOAT(126)	16	Y	Y	Y	18.8f								1	0	external-coolant-temperature (C)		
TEMPDET	TEMPDET		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	detector temperature (C)		
TEMPDET1	TEMPDET1		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0			
TEMPDET2	TEMPDET2		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0			
TEMPDET3	TEMPDET3		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0			
TEMPIN	TEMPIN		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	inside-temperature (C)		
TEMPIOD1	TEMPIOD1		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	iodine-cell-temperature1 (C)		
TEMPIOD2	TEMPIOD2		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	iodine-cell-temperature2 (C)		
TEMPLAMP	TEMPLAMP		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	lamp-enclosure-temperature (C)		
TEMPOUT	TEMPOUT		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	outside-temperature (C)		
TEMPSET	TEMPSET		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	ccd desired dewar temperature (C)		
TEMPTV	TEMPTV		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	tv-enclosure-temperature (C)		
TTIME	TTIME		integer		"NUMBER(*,0)"	16	Y	Y	Y			12500						1	0	total exposure time (sec)		
TVACAL	TVACAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	tv-aperture-calibration		
TVACON	TVACON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	tv aperture control		
TVANAME	TVANAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	tv aperture name		
TVARAW	TVARAW		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	tv-aperture-raw-position in counts		
TVF1CAL	TVF1CAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	tv-filter1-calibration		
TVF1CON	TVF1CON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	tv-filter1-control		
TVF1NAME	TVF1NAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	tv-filter1-name		
TVF1POS	TVF1POS		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	tv-filter1-discrete-position in of 8		
TVF1RAW	TVF1RAW		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	tv-filter1-raw-position in counts		
TVF2CAL	TVF2CAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	tv-filter2-calibration		
TVF2CON	TVF2CON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	tv-filter2-control		
TVF2NAME	TVF2NAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	tv-filter2-name		
TVF2POS	TVF2POS		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	tv-filter2-discrete-position in of 8		
TVF2RAW	TVF2RAW		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	tv-filter2-raw-position in counts		
TVFCAL	TVFCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	tv-focus-calibration		
TVFCON	TVFCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	tv-focus-control		
TVFNAME	TVFNAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	tv-focus-name		
TVFOCUS	TVFOCUS		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	tv-focus-location in um		
TVFRAW	TVFRAW		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	tv-focus-raw-position in counts		
TVON	TVON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	tv-controller-power		
UPSON	UPSON		char		VARCHAR2(9 BYTE)	8	Y	Y	N				"T,F"					1	0	ups-power on		
UT	UT		char		VARCHAR2(17 BYTE)	16	N	Y	Y									1	1	coordinated universal time		
UT_END	UT_END		char		VARCHAR2(17 BYTE)	16	Y	Y	Y									1	0	UT time of end of exposure		
UTB15VEN	UTB15VEN		char		VARCHAR2(17 BYTE)	16	Y	N	N									1	0	ccd-15-volts-enable		
UTB30VEN	UTB30VEN		char		VARCHAR2(17 BYTE)	16	Y	N	N									1	0	ccd-30-volts-enable		
UTBM15V	UTBM15V		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	ccd-minus-15-volts in ADC value		
UTBP15V	UTBP15V		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	ccd-plus-15-volts in ADC value		
UTBP30V	UTBP30V		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	ccd-plus-30-volts in ADC value		
UTBP5V	UTBP5V		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	ccd-plus-5-volts in ADC value		
UTBTEMP	UTBTEMP		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	temperature of the CCD controller utility board		
UTDATETIME	UTDATETIME		timestamp		TIMESTAMP	16	Y	Y	N									1	0			
VIDINACT	VIDINACT		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0			
VIDINBEG	VIDINBEG		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	bitmask indicating which of the video inputs in the mosaic were shifted at the b		
VIDINEND	VIDINEND		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	bitmask indicating which of the video inputs in the mosaic were shifted at the e		
VIDOFF1	VIDOFF1		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	video-offset-amplifier-0		
VIDOFF2	VIDOFF2		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	video-offset-amplifier-1		
VIDOFF3	VIDOFF3		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	video-offset-amplifier-2		
VIDOFF4	VIDOFF4		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	video-offset-amplifier-3		
VIDOFF5	VIDOFF5		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	video-offset-amplifier-4		
VIDOFF6	VIDOFF6		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	video-offset-amplifier-5		
WAVEBLUE	WAVEBLUE		double		FLOAT(126)	16	Y	Y	Y	18.8f		20000						1	1	"Echelle blaze, image blue end (A)"		
WAVECNTR	WAVECNTR		double		FLOAT(126)	16	Y	Y	Y	18.8f		20000						1	0	"Echelle blaze, image center (A)"		
WAVERED	WAVERED		double		FLOAT(126)	16	Y	Y	Y	18.8f		20000						1	1	"Echelle blaze, image red end (A)"		
WINDOW	WINDOW		char		VARCHAR2(31 BYTE)	30	Y	Y	N									1	1	window		
WXDOMHUM	WXDOMHUM		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	humidity level inside the dome		
WXDOMTMP	WXDOMTMP		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	temperature inside the dome		
WXDWPT	WXDWPT		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	dewpoint		
WXOUTHUM	WXOUTHUM		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Outside humidity		
WXOUTTMP	WXOUTTMP		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Outside temperature		
WXPRESS	WXPRESS		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	Pressure		
WXTIME	WXTIME		char		VARCHAR2(17 BYTE)	16	Y	N	N									1	0	Timestamp of weather recordings		
WXWNDIR	WXWNDIR		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	direction of wind		
WXWNDSP	WXWNDSP		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	speed of wind		
XCOVCLOS	XCOVCLOS		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	cross-disperser-cover-closed		
XCOVOPEN	XCOVOPEN		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	cross-disperser-cover-open		
XDANGL	XDANGL		double		FLOAT(126)	16	Y	Y	Y	18.8f		45						1	1	cross-disperser-angle		
XDCAL	XDCAL		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	cross-disperser-calibration		
XDCON	XDCON		char		VARCHAR2(9 BYTE)	8	Y	Y	Y				"T,F"					1	0	cross-disperser-control		
XDDELTAD	XDDELTAD		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	cross-disperser-blaze in deg		
XDISPERS	XDISPERS		char		VARCHAR2(9 BYTE)	8	Y	N	N									1	1	cross-disperser		
XDNAME	XDNAME		char		VARCHAR2(69 BYTE)	68	Y	N	N									1	0	cross-disperser-name		
XDPIX	XDPIX		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	cross-disperser-pixel-position in pixel row		
XDRAW	XDRAW		integer		"NUMBER(*,0)"	16	Y	Y	N									1	0	cross-disperser-raw-position in encoder counts		
XDSIGMAI	XDSIGMAI		double		FLOAT(126)	16	Y	Y	N	18.8f								1	0	cross-disperser-groove-density (line/mm)		
XFLIP	XFLIP		integer		"NUMBER(*,0)"	8	Y	Y	N									1	0	camera-x-flip		
YFLIP	YFLIP		integer		"NUMBER(*,0)"	8	Y	N	N									1	0	camera-y-flip		
